DonationID,ParticipantEmail,DonationDate,DonationAmount,DonationNumber
1,natalie.torres6@studentmail.org,1/6/22,257.41,1
2,victoria.rodriguez12@community.org,,55.26,1
3,elijah.hill13@ellarises.org,,74.25,1
4,lucy.allen15@studentmail.org,11/17/22,103.83,1
5,madison.nguyen21@studentmail.org,10/5/23,177.27,1
6,jack.thomas23@community.org,6/12/23,108.29,1
7,elijah.clark24@community.org,1/8/24,73.64,1
8,violet.miller25@studentmail.org,7/21/23,50.71,1
9,violet.miller25@studentmail.org,4/18/23,23.27,2
10,violet.miller25@studentmail.org,,401.52,3
11,olivia.garcia27@studentmail.org,8/1/23,164.19,1
12,amelia.brown30@community.org,5/18/23,1214.27,1
13,amelia.brown30@community.org,,251.44,2
14,riley.jones31@ellarises.org,5/8/23,153.66,1
15,zoe.jackson35@studentmail.org,11/9/22,28.69,1
16,mason.smith36@learners.net,10/10/23,25.33,1
17,scarlett.moore37@learners.net,1/7/24,27.38,1
18,mila.hill47@community.org,9/30/22,163.07,1
19,hazel.torres48@studentmail.org,4/18/22,173.89,1
20,oliver.harris51@studentmail.org,10/17/22,470.82,1
21,chloe.garcia53@learners.net,4/23/22,24.43,1
22,bella.anderson54@studentmail.org,,85.32,1
23,henry.flores58@community.org,2/14/22,261.14,1
24,henry.flores58@community.org,,154.71,2
25,penelope.king59@community.org,11/23/23,180.75,1
26,hannah.jones61@community.org,10/13/22,162.65,1
27,oliver.harris62@ellarises.org,3/7/22,487.44,1
28,oliver.wright63@studentmail.org,7/25/22,50.24,1
29,oliver.wright63@studentmail.org,10/26/23,543.08,2
30,oliver.wright63@studentmail.org,,1069.24,3
31,sophia.garcia65@community.org,,1032.55,1
32,eleanor.garcia67@community.org,,261.61,1
33,eleanor.garcia67@community.org,,275.08,2
34,eleanor.garcia67@community.org,,500.94,3
35,eleanor.garcia67@community.org,,186.88,4
36,harper.williams68@ellarises.org,,106.04,1
37,harper.williams68@ellarises.org,3/15/24,159.88,2
38,ella.hernandez70@learners.net,7/7/22,181.76,1
39,ella.hernandez70@learners.net,6/2/22,84.39,2
40,mia.thompson72@community.org,1/15/24,1012.53,1
41,michael.moore74@community.org,3/4/24,201.13,1
42,michael.moore74@community.org,1/10/24,60.35,2
43,michael.moore74@community.org,,190.19,3
44,michael.moore74@community.org,,50.07,4
45,emily.moore75@community.org,9/10/23,23.32,1
46,aurora.miller83@studentmail.org,4/27/24,422.99,1
47,sebastian.rodriguez84@learners.net,6/12/22,225.91,1
48,alexander.miller85@ellarises.org,,744.35,1
49,eleanor.walker86@ellarises.org,4/17/23,171.01,1
50,victoria.king88@community.org,,998.03,1
51,lillian.lopez90@ellarises.org,12/5/23,82.69,1
52,lillian.lopez90@ellarises.org,6/26/23,180.01,2
53,brooklyn.sanchez94@learners.net,3/8/23,45.67,1
54,brooklyn.sanchez94@learners.net,,26.09,2
55,william.lee95@learners.net,11/9/22,1131.58,1
56,william.lee95@learners.net,7/3/23,1010.02,2
57,eleanor.lee99@ellarises.org,6/12/23,230.66,1
58,lillian.hernandez102@learners.net,11/7/23,519.78,1
59,noah.williams108@learners.net,,164.25,1
60,elizabeth.king110@community.org,5/22/22,43.29,1
61,elizabeth.king110@community.org,,91.5,2
62,leah.lee112@community.org,12/21/23,41.09,1
63,charlotte.hill120@community.org,,259.86,1
64,sofia.garcia122@learners.net,9/23/22,855.59,1
65,sofia.garcia122@learners.net,10/18/22,79.83,2
66,sofia.garcia122@learners.net,6/16/22,26.32,3
67,natalie.king123@learners.net,,84.97,1
68,james.smith125@learners.net,10/16/22,90.7,1
69,zoe.miller126@studentmail.org,9/22/22,27.97,1
70,ella.miller128@studentmail.org,11/3/22,280.34,1
71,isabella.white130@studentmail.org,,119.32,1
72,isabella.white130@studentmail.org,4/20/23,304.63,2
73,ethan.thompson131@ellarises.org,8/6/23,197.79,1
74,ethan.thompson131@ellarises.org,,48.34,2
75,grace.jones133@studentmail.org,6/10/22,83.12,1
76,grace.jones133@studentmail.org,5/13/22,247,2
77,ava.moore134@studentmail.org,2/25/24,510.39,1
78,ava.moore134@studentmail.org,2/20/23,247.67,2
79,lucas.allen137@studentmail.org,4/4/23,93.66,1
80,claire.harris140@learners.net,10/2/23,255.49,1
81,claire.harris140@learners.net,,187.61,2
82,ella.scott141@studentmail.org,,111.01,1
83,liam.clark142@ellarises.org,,1126.17,1
84,liam.clark142@ellarises.org,,578.94,2
85,sofia.scott144@ellarises.org,7/2/24,227.02,1
86,victoria.ramirez147@ellarises.org,,82.55,1
87,henry.ramirez151@community.org,11/25/23,1047.25,1
88,eleanor.jackson154@learners.net,,1043.99,1
89,eleanor.jackson154@learners.net,1/31/24,22.96,2
90,sebastian.anderson155@learners.net,,82.8,1
91,sebastian.anderson155@learners.net,,173.16,2
92,evelyn.lee156@community.org,7/17/24,93.53,1
93,addison.ramirez158@community.org,8/11/22,88.2,1
94,evelyn.lopez161@community.org,5/19/24,566.36,1
95,claire.lee162@studentmail.org,6/16/22,73.53,1
96,lily.white167@learners.net,10/1/23,204.12,1
97,skylar.jones168@learners.net,10/23/22,25.72,1
98,scarlett.perez169@ellarises.org,,992.38,1
99,mason.garcia171@community.org,11/6/22,93.59,1
100,mason.garcia171@community.org,12/8/22,144.09,2
101,mason.garcia171@community.org,,821.94,3
102,violet.young172@studentmail.org,1/19/24,959.77,1
103,violet.young172@studentmail.org,12/27/22,1033.23,2
104,violet.young172@studentmail.org,9/8/22,49.81,3
105,mateo.wright173@ellarises.org,4/30/24,109.25,1
106,mason.ramirez183@ellarises.org,10/29/22,65.36,1
107,benjamin.jones184@ellarises.org,8/11/23,1180.16,1
108,benjamin.jones184@ellarises.org,4/19/23,27.89,2
109,lillian.martinez185@learners.net,7/18/23,24.08,1
110,lillian.martinez185@learners.net,,799.57,2
111,stella.jones188@learners.net,9/20/23,229.6,1
112,levi.lopez190@studentmail.org,,71.7,1
113,avery.white193@community.org,9/19/23,161.12,1
114,ethan.jackson195@learners.net,6/7/23,75.37,1
115,henry.williams198@studentmail.org,,483.58,1
116,henry.williams198@studentmail.org,12/27/22,147.96,2
117,henry.williams198@studentmail.org,,134.06,3
118,isabella.hill199@studentmail.org,2/10/24,1052.91,1
119,isabella.hill199@studentmail.org,4/14/24,22.94,2
120,camila.king200@learners.net,,288.89,1
121,camila.king200@learners.net,,265.2,2
122,riley.young201@community.org,,213.21,1
123,riley.young201@community.org,,160.58,2
124,riley.young201@community.org,,206.01,3
125,henry.garcia203@learners.net,,73.81,1
126,henry.garcia203@learners.net,1/11/24,504.56,2
127,henry.garcia203@learners.net,12/31/23,79.58,3
128,lily.lopez204@learners.net,,488.4,1
129,riley.rodriguez208@community.org,,70.09,1
130,penelope.rodriguez210@learners.net,10/31/22,572.12,1
131,penelope.rodriguez210@learners.net,3/22/23,156.8,2
132,levi.thomas213@community.org,9/26/22,112.63,1
133,levi.robinson214@studentmail.org,11/25/22,1083.59,1
134,avery.moore216@community.org,10/16/22,50.67,1
135,avery.moore216@community.org,11/18/23,26.13,2
136,avery.moore216@community.org,2/11/24,497.89,3
137,avery.moore216@community.org,11/25/23,78.68,4
138,mateo.robinson219@studentmail.org,8/12/23,58.85,1
139,natalie.williams221@community.org,9/18/23,185.01,1
140,evelyn.harris222@community.org,5/9/23,113.29,1
141,daniel.wright226@community.org,,115.62,1
142,madison.brown228@community.org,10/18/23,63.53,1
143,madison.brown228@community.org,9/15/23,21.29,2
144,madison.brown228@community.org,9/11/23,223.99,3
145,addison.williams229@ellarises.org,5/3/24,78.58,1
146,grace.clark230@community.org,7/23/23,229.34,1
147,brooklyn.jackson233@studentmail.org,5/6/24,26.86,1
148,paisley.scott236@learners.net,2/11/24,155.08,1
149,mason.anderson237@studentmail.org,,23.13,1
150,isabella.lopez240@community.org,7/17/24,125.36,1
151,isabella.lopez240@community.org,,127.4,2
152,riley.rodriguez245@community.org,5/6/23,71.16,1
153,hannah.thomas250@ellarises.org,,26.38,1
154,ella.brown251@studentmail.org,,167.83,1
155,grace.nguyen252@community.org,,210.88,1
156,daniel.clark253@community.org,11/29/22,53.68,1
157,amelia.jones255@community.org,,67.82,1
158,oliver.white256@community.org,6/12/24,65.14,1
159,victoria.smith258@ellarises.org,6/20/24,1023.22,1
