ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPassword,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest,TotalDonations
penelope.martinez4@studentmail.org,Penelope,Martinez,3/3/00 0:00,participant,participant123,801-294-7224,Lehi,UT,84105,UVU,Arts,
natalie.torres6@studentmail.org,Natalie,Torres,6/28/04 0:00,participant,participant123,801-877-4733,Ogden,UT,84047,East Ridge Middle,STEM,257.41
elizabeth.harris7@learners.net,Elizabeth,Harris,4/21/06 0:00,participant,participant123,801-573-3664,Riverton,UT,84651,UVU,STEM,
paisley.jones8@studentmail.org,Paisley,Jones,1/21/04 0:00,participant,participant123,801-673-7216,West Jordan,UT,84168,Startup Lab,Both,
victoria.lee9@ellarises.org,Victoria,Lee,12/31/06 0:00,participant,participant123,801-232-6168,West Jordan,UT,84842,BYU,STEM,
hannah.torres10@learners.net,Hannah,Torres,6/2/12 0:00,participant,participant123,801-711-7482,Sandy,UT,84672,Mountain View High,STEM,
lucy.rodriguez11@studentmail.org,Lucy,Rodriguez,2/2/11 0:00,participant,participant123,801-798-8019,Layton,UT,84765,SLCC,Arts,
victoria.rodriguez12@community.org,Victoria,Rodriguez,6/6/01 0:00,participant,participant123,801-248-2796,Ogden,UT,84774,Tech Apprenticeship,STEM,55.26
elijah.hill13@ellarises.org,Elijah,Hill,11/13/09 0:00,participant,participant123,801-810-8668,Bountiful,UT,84391,BYU,Both,74.25
olivia.davis14@learners.net,Olivia,Davis,7/19/01 0:00,participant,participant123,801-500-8123,Lehi,UT,84115,Mountain View High,STEM,
lucy.allen15@studentmail.org,Lucy,Allen,5/1/12 0:00,participant,participant123,801-308-5889,Pleasant Grove,UT,84935,Cafe Rio,Both,103.83
nora.martinez16@learners.net,Nora,Martinez,1/5/98 0:00,participant,participant123,801-997-9689,Orem,UT,84553,Local Library,Arts,
alexander.johnson17@ellarises.org,Alexander,Johnson,4/20/99 0:00,participant,participant123,801-514-4923,Draper,UT,84900,Valley Charter,Both,
abigail.garcia18@community.org,Abigail,Garcia,11/17/00 0:00,participant,participant123,801-745-3060,Ogden,UT,84779,Tech Apprenticeship,Arts,
chloe.taylor19@community.org,Chloe,Taylor,12/28/13 0:00,participant,participant123,801-752-4295,Sandy,UT,84952,BYU,Arts,
zoe.lewis20@community.org,Zoe,Lewis,8/1/05 0:00,participant,participant123,801-430-2049,Logan,UT,84254,Westview High,Both,
madison.nguyen21@studentmail.org,Madison,Nguyen,2/19/03 0:00,participant,participant123,801-924-1964,Salt Lake City,UT,84073,East Ridge Middle,STEM,177.27
skylar.jones22@studentmail.org,Skylar,Jones,2/4/10 0:00,participant,participant123,801-697-4510,Layton,UT,84686,North Summit High,Both,
jack.thomas23@community.org,Jack,Thomas,10/12/12 0:00,participant,participant123,801-296-2588,Taylorsville,UT,84195,SLCC,Arts,108.29
elijah.clark24@community.org,Elijah,Clark,5/12/99 0:00,participant,participant123,801-869-2612,Provo,UT,84690,SLCC,Both,73.64
violet.miller25@studentmail.org,Violet,Miller,2/22/01 0:00,participant,participant123,801-749-8350,Sandy,UT,84195,SLCC,STEM,475.5
